"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"04-Jan-2010","     4343.10","     4372.30","     4334.95","     4367.65","      551733745","        11986.07"
"05-Jan-2010","     4406.50","     4422.90","     4396.70","     4416.05","      733115159","        15656.17"
"06-Jan-2010","     4430.05","     4438.65","     4405.55","     4422.65","      683891257","        15244.48"
"07-Jan-2010","     4431.00","     4435.00","     4399.00","     4411.55","      666648122","        14563.01"
"08-Jan-2010","     4415.50","     4436.15","     4397.70","     4405.30","      662676330","        15145.93"
"11-Jan-2010","     4439.80","     4452.05","     4423.40","     4432.50","      677407518","        17757.32"
"12-Jan-2010","     4442.20","     4449.85","     4385.00","     4391.70","      637239993","        15306.92"
"13-Jan-2010","     4364.35","     4418.90","     4361.90","     4415.60","      665745799","        14813.64"
"14-Jan-2010","     4440.45","     4462.20","     4439.15","     4450.45","      626916414","        14327.73"
"15-Jan-2010","     4468.30","     4482.55","     4453.95","     4468.15","      611824852","        14299.07"
"18-Jan-2010","     4462.30","     4508.20","     4461.85","     4499.60","      555513152","        13846.68"
"19-Jan-2010","     4506.65","     4524.30","     4463.75","     4469.30","      662396505","        14122.85"
"20-Jan-2010","     4499.95","     4502.40","     4439.45","     4453.65","      593712638","        14629.60"
"21-Jan-2010","     4436.90","     4445.40","     4336.55","     4343.25","      657906890","        15592.92"
"22-Jan-2010","     4254.55","     4331.70","     4209.10","     4310.75","      769157323","        18521.51"
"25-Jan-2010","     4283.55","     4306.20","     4268.60","     4278.55","      502256234","        11675.25"
"27-Jan-2010","     4239.85","     4260.05","     4109.35","     4125.50","      697413482","        17032.29"
"28-Jan-2010","     4173.20","     4197.15","     4113.40","     4137.50","      788025215","        19421.36"
"29-Jan-2010","     4095.90","     4163.90","     4047.10","     4156.05","      750441979","        17806.53"
"01-Feb-2010","     4130.45","     4211.50","     4127.00","     4196.30","      582938427","        13063.53"
"02-Feb-2010","     4238.45","     4242.75","     4129.20","     4138.25","      620825196","        13833.43"
"03-Feb-2010","     4173.30","     4223.85","     4171.40","     4212.10","      501430717","        11687.39"
"04-Feb-2010","     4206.55","     4208.35","     4131.70","     4139.70","      477640695","        11198.43"
"05-Feb-2010","     4029.65","     4055.60","     4004.95","     4023.65","      574742993","        12653.54"
"06-Feb-2010","     4059.05","     4076.90","     4048.70","     4066.85","       86012117","         1458.20"
"08-Feb-2010","     4066.65","     4096.50","     4009.55","     4067.30","      521744661","        11669.45"
"09-Feb-2010","     4069.45","     4110.40","     4056.70","     4104.00","      457039383","        10633.42"
"10-Feb-2010","     4129.80","     4136.85","     4072.20","     4079.70","      497773602","        11683.70"
"11-Feb-2010","     4109.35","     4135.70","     4108.45","     4123.60","      393285091","         9120.44"
"15-Feb-2010","     4136.40","     4137.15","     4092.40","     4096.20","      346579573","         8233.02"
"16-Feb-2010","     4111.80","     4147.10","     4086.85","     4134.65","      369195585","         8778.42"
"17-Feb-2010","     4173.75","     4191.05","     4154.30","     4171.55","      458625588","        11457.95"
"18-Feb-2010","     4163.90","     4174.65","     4137.90","     4145.85","      460084045","        10526.06"
"19-Feb-2010","     4105.65","     4127.75","     4077.60","     4102.70","      492366746","        10748.35"
"22-Feb-2010","     4151.20","     4151.65","     4086.35","     4094.25","      386894104","         8542.44"
"23-Feb-2010","     4079.10","     4109.20","     4077.90","     4089.70","      354537039","         8697.92"
"24-Feb-2010","     4072.95","     4093.40","     4068.65","     4080.65","      375228888","         8698.21"
"25-Feb-2010","     4094.85","     4094.85","     4066.60","     4072.35","      486571573","        11607.23"
"26-Feb-2010","     4088.10","     4170.95","     4081.15","     4127.55","      740177481","        17220.96"
"02-Mar-2010","     4170.35","     4198.35","     4158.65","     4192.30","      533256669","        13495.77"
"03-Mar-2010","     4210.60","     4252.65","     4209.55","     4249.85","      502718519","        12880.91"
"04-Mar-2010","     4248.00","     4266.25","     4237.75","     4262.35","      554348438","        12935.74"
"05-Mar-2010","     4283.30","     4293.70","     4257.90","     4270.25","      561481869","        12519.53"
"08-Mar-2010","     4308.70","     4308.70","     4275.20","     4287.75","      520800464","        13229.06"
"09-Mar-2010","     4280.65","     4280.65","     4247.85","     4252.40","      419614334","        10987.29"
"10-Mar-2010","     4248.65","     4276.65","     4237.80","     4253.80","      425238882","        11086.81"
"11-Mar-2010","     4248.85","     4260.35","     4234.70","     4252.85","      409865523","        10108.48"
"12-Mar-2010","     4262.05","     4272.65","     4244.15","     4253.35","      429403197","        10840.46"
"15-Mar-2010","     4237.45","     4245.40","     4221.05","     4233.40","      384299247","         9338.73"
"16-Mar-2010","     4234.65","     4277.35","     4232.80","     4273.65","      395038742","         9765.84"
"17-Mar-2010","     4298.25","     4324.50","     4294.40","     4304.20","      472272027","        11843.21"
"18-Mar-2010","     4312.35","     4318.20","     4294.85","     4306.60","      450438655","        10782.33"
"19-Mar-2010","     4316.25","     4327.15","     4308.70","     4324.00","      440831524","        10579.30"
"22-Mar-2010","     4273.35","     4317.25","     4273.35","     4278.75","      415547596","         9838.59"
"23-Mar-2010","     4300.50","     4305.35","     4268.20","     4287.30","      421720730","        10351.82"
"25-Mar-2010","     4274.50","     4299.90","     4268.25","     4293.70","      580954373","        15523.00"
"26-Mar-2010","     4305.40","     4324.15","     4305.40","     4312.95","      430551460","        11174.21"
"29-Mar-2010","     4314.30","     4337.45","     4314.30","     4320.95","      416398516","        10916.37"
"30-Mar-2010","     4341.40","     4348.05","     4307.90","     4313.20","      421224104","        10618.38"
"31-Mar-2010","     4328.20","     4340.90","     4304.30","     4313.25","      407293828","        11278.31"
"01-Apr-2010","     4337.20","     4348.35","     4330.00","     4345.20","      400052260","        10436.42"
"05-Apr-2010","     4372.35","     4406.50","     4364.20","     4403.90","      419370895","        10165.79"
"06-Apr-2010","     4417.05","     4419.05","     4396.95","     4410.30","      493995782","        11187.41"
"07-Apr-2010","     4424.10","     4446.35","     4402.80","     4424.95","      550083855","        12191.39"
"08-Apr-2010","     4419.75","     4429.95","     4370.05","     4381.70","      528703700","        11559.23"
"09-Apr-2010","     4397.85","     4420.75","     4397.85","     4410.05","      504842748","        11186.69"
"12-Apr-2010","     4426.10","     4426.10","     4386.15","     4394.70","      431974229","        10250.15"
"13-Apr-2010","     4397.00","     4397.00","     4372.80","     4383.35","      431308290","        12534.21"
"15-Apr-2010","     4418.15","     4418.15","     4354.55","     4359.40","      517742157","        12856.12"
"16-Apr-2010","     4345.55","     4356.95","     4330.00","     4342.25","      413154754","        10095.19"
