"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2017","     5808.10","     5892.20","     5778.80","     5884.70","      155354004","         1054.11"
"03-Jan-2017","     5912.05","     5969.40","     5893.65","     5953.90","      167324403","         1243.51"
"04-Jan-2017","     5973.35","     6020.30","     5973.35","     6003.15","      268761379","         1470.42"
"05-Jan-2017","     6046.05","     6090.50","     6045.20","     6087.50","      274919858","         1377.30"
"06-Jan-2017","     6113.25","     6131.50","     6051.25","     6063.25","      165828283","         1041.57"
"09-Jan-2017","     6075.80","     6120.05","     6056.85","     6117.05","      159507302","         1783.17"
"10-Jan-2017","     6149.90","     6193.15","     6148.45","     6185.35","      187281395","         1825.24"
"11-Jan-2017","     6205.95","     6256.40","     6204.45","     6248.65","      136760381","         1570.39"
"12-Jan-2017","     6258.00","     6266.90","     6204.20","     6223.30","      117005592","         1157.83"
"13-Jan-2017","     6243.50","     6256.35","     6205.15","     6248.95","      123037048","         1224.29"
"16-Jan-2017","     6248.20","     6294.30","     6236.65","     6280.05","      111180546","         1148.93"
"17-Jan-2017","     6305.85","     6327.40","     6273.25","     6303.05","      110664799","         1182.68"
"18-Jan-2017","     6317.20","     6350.25","     6293.65","     6307.75","      135794956","         1234.37"
"19-Jan-2017","     6311.85","     6326.15","     6300.00","     6310.55","      110411598","         1011.30"
"20-Jan-2017","     6308.95","     6313.10","     6189.60","     6195.35","      115162344","         1076.71"
"23-Jan-2017","     6198.25","     6255.25","     6192.75","     6249.60","       88330143","          975.87"
"24-Jan-2017","     6271.05","     6279.65","     6255.35","     6272.40","      115229010","         1245.41"
"25-Jan-2017","     6304.75","     6349.80","     6304.75","     6346.35","      209362085","         1649.47"
"27-Jan-2017","     6361.40","     6427.10","     6361.40","     6395.50","      219339639","         1534.34"
"30-Jan-2017","     6393.25","     6428.70","     6384.20","     6391.95","      156091276","         1118.29"
"31-Jan-2017","     6400.55","     6404.05","     6296.70","     6302.20","      232872461","         1186.04"
"01-Feb-2017","     6317.70","     6413.30","     6299.10","     6407.70","      302928245","         1709.10"
"02-Feb-2017","     6414.60","     6523.60","     6403.60","     6498.80","      354205141","         2042.73"
"03-Feb-2017","     6523.40","     6588.00","     6522.25","     6576.75","      362645260","         2036.90"
"06-Feb-2017","     6619.60","     6657.70","     6608.70","     6632.15","      344579674","         1758.31"
"07-Feb-2017","     6647.25","     6661.85","     6587.35","     6622.60","      393664396","         1684.86"
"08-Feb-2017","     6643.40","     6660.25","     6582.20","     6648.65","      294066775","         1374.73"
