"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2007","     3299.90","     3327.40","     3293.55","     3323.10","      141668119","         4346.18"
"03-Jan-2007","     3335.30","     3346.40","     3312.80","     3342.70","      223990016","         6673.79"
"04-Jan-2007","     3353.35","     3356.95","     3320.20","     3327.90","      249257416","         6820.46"
"05-Jan-2007","     3328.55","     3350.95","     3314.95","     3325.30","      219674367","         6575.91"
"08-Jan-2007","     3312.60","     3312.60","     3275.45","     3286.90","      200525431","         5955.98"
"09-Jan-2007","     3299.95","     3313.20","     3250.85","     3264.10","      207613170","         6372.26"
"10-Jan-2007","     3262.10","     3262.10","     3209.00","     3214.60","      196642117","         6289.03"
"11-Jan-2007","     3210.80","     3290.70","     3210.80","     3284.30","      218185259","         7101.03"
"12-Jan-2007","     3306.95","     3365.60","     3306.95","     3362.10","      270110213","         7737.14"
"15-Jan-2007","     3393.30","     3396.75","     3381.60","     3385.20","      248003124","         6762.60"
"16-Jan-2007","     3395.55","     3403.55","     3377.60","     3386.20","      280345617","         6270.22"
"17-Jan-2007","     3397.10","     3408.80","     3389.15","     3396.45","      283800786","         6208.10"
"18-Jan-2007","     3410.70","     3443.60","     3395.25","     3415.20","      299882592","         7330.59"
"19-Jan-2007","     3435.20","     3435.55","     3376.25","     3397.60","      234829849","         6979.63"
"22-Jan-2007","     3412.10","     3414.40","     3383.10","     3405.85","      199856358","         5814.96"
"23-Jan-2007","     3399.30","     3403.00","     3363.60","     3368.50","      240223351","         6357.29"
"24-Jan-2007","     3383.50","     3396.85","     3371.80","     3388.80","      256645424","         6614.02"
"25-Jan-2007","     3405.30","     3437.45","     3394.65","     3431.60","      371581067","         9954.81"
"29-Jan-2007","     3434.35","     3442.75","     3418.85","     3424.50","      263985012","         7211.69"
"31-Jan-2007","     3433.00","     3438.30","     3384.20","     3393.10","      293083596","         8822.94"
"01-Feb-2007","     3411.55","     3434.90","     3390.30","     3432.00","      249623478","         6554.74"
"02-Feb-2007","     3448.70","     3473.85","     3448.70","     3462.15","      314603906","         8545.84"
"05-Feb-2007","     3466.75","     3482.95","     3454.60","     3480.60","      267811480","         6927.09"
"06-Feb-2007","     3491.15","     3492.60","     3467.40","     3474.10","      301690568","         7640.16"
"07-Feb-2007","     3479.00","     3500.90","     3476.15","     3494.20","      280195196","         7658.06"
"08-Feb-2007","     3500.70","     3502.00","     3469.30","     3492.70","      266187478","         6786.44"
"09-Feb-2007","     3500.00","     3505.55","     3442.75","     3453.35","      253876676","         7013.05"
"12-Feb-2007","     3427.15","     3427.15","     3328.45","     3338.45","      266000795","         7031.90"
"13-Feb-2007","     3317.10","     3395.45","     3294.40","     3324.55","      276363649","         8038.76"
"14-Feb-2007","     3266.90","     3330.20","     3259.85","     3322.75","      245932635","         7301.55"
"15-Feb-2007","     3362.65","     3407.75","     3362.65","     3403.70","      257937667","         7222.84"
"19-Feb-2007","     3412.80","     3431.50","     3409.35","     3414.65","      208818315","         5637.23"
"20-Feb-2007","     3421.35","     3421.35","     3368.85","     3373.35","      193091859","         5893.11"
"21-Feb-2007","     3370.35","     3391.30","     3354.75","     3365.10","      230400001","         6341.69"
"22-Feb-2007","     3373.20","     3385.80","     3312.70","     3322.45","      315067647","         9692.43"
"23-Feb-2007","     3335.75","     3335.75","     3226.65","     3241.75","      249010683","         7760.23"
"26-Feb-2007","     3247.40","     3258.45","     3184.35","     3244.75","      219226326","         7577.18"
"27-Feb-2007","     3255.10","     3266.20","     3211.85","     3223.80","      201808357","         6489.78"
"28-Feb-2007","     3059.35","     3186.45","     3059.35","     3107.75","      380005818","        11243.08"
"01-Mar-2007","     3118.75","     3151.40","     3079.85","     3147.50","      274385134","         8231.74"
"02-Mar-2007","     3141.70","     3176.30","     3081.00","     3091.25","      248039852","         7500.71"
"05-Mar-2007","     2999.30","     3011.25","     2937.20","     2957.85","      257773516","         7568.10"
"06-Mar-2007","     3011.45","     3029.15","     2945.55","     3002.95","      266715657","         7318.44"
"07-Mar-2007","     3031.00","     3048.10","     2931.00","     2968.45","      237157756","         7025.93"
"08-Mar-2007","     2980.20","     3084.90","     2963.60","     3072.60","      231150233","         6493.11"
"09-Mar-2007","     3093.05","     3093.05","     3024.45","     3048.15","      249747298","         6940.99"
"12-Mar-2007","     3058.35","     3096.85","     3049.85","     3066.30","      197648868","         5814.19"
"13-Mar-2007","     3074.70","     3105.30","     3063.25","     3102.80","      192860834","         5844.73"
"14-Mar-2007","     3029.90","     3029.90","     3003.25","     3010.05","      194094058","         6097.42"
"15-Mar-2007","     3055.35","     3069.20","     3011.25","     3019.30","      174557969","         5670.45"
"16-Mar-2007","     3034.35","     3038.65","     2966.40","     2993.15","      155653475","         5070.22"
"19-Mar-2007","     3010.15","     3044.65","     2996.95","     3042.35","      119133736","         3572.61"
"20-Mar-2007","     3065.70","     3081.10","     3053.00","     3062.70","      167269604","         4956.62"
"21-Mar-2007","     3078.80","     3106.20","     3052.25","     3102.55","      167152518","         4853.78"
"22-Mar-2007","     3141.80","     3176.95","     3141.80","     3174.50","      206470558","         6507.86"
"23-Mar-2007","     3179.40","     3193.95","     3158.20","     3168.65","      205396174","         6010.57"
"26-Mar-2007","     3170.35","     3181.90","     3139.90","     3141.85","      157718452","         5123.64"
"28-Mar-2007","     3117.85","     3125.60","     3089.45","     3095.60","      194166279","         6160.62"
"29-Mar-2007","     3105.25","     3121.95","     3086.80","     3116.25","      276913023","         8078.88"
"30-Mar-2007","     3123.35","     3151.40","     3123.35","     3145.35","      202646472","         5755.99"
"02-Apr-2007","     3067.30","     3076.95","     2997.85","     3008.75","      184130609","         5921.24"
"03-Apr-2007","     3027.25","     3053.75","     3012.30","     3046.65","      179678411","         5752.71"
"04-Apr-2007","     3059.30","     3097.75","     3059.30","     3082.65","      200800713","         6061.30"
"05-Apr-2007","     3086.35","     3114.35","     3069.40","     3100.85","      195624823","         5434.01"
"09-Apr-2007","     3120.10","     3177.40","     3120.10","     3172.55","      184206990","         5048.66"
