"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2013","     4761.80","     4792.90","     4761.80","     4786.20","      463144326","         7288.59"
"02-Jan-2013","     4804.15","     4830.90","     4804.15","     4818.90","      613767891","        10643.17"
"03-Jan-2013","     4831.65","     4839.85","     4814.80","     4835.70","      640778644","        11247.72"
"04-Jan-2013","     4837.15","     4846.35","     4816.55","     4844.00","      743342265","        11463.24"
"07-Jan-2013","     4858.65","     4861.35","     4823.90","     4831.45","      742363616","        11335.42"
"08-Jan-2013","     4828.70","     4840.75","     4811.25","     4837.95","      628814618","        10856.37"
"09-Jan-2013","     4840.65","     4857.75","     4808.05","     4815.75","      821766995","        12619.55"
"10-Jan-2013","     4831.25","     4843.15","     4792.65","     4809.20","      766587245","        11788.72"
"11-Jan-2013","     4833.60","     4836.00","     4770.55","     4778.15","      644547668","        13104.63"
"14-Jan-2013","     4787.00","     4843.60","     4779.80","     4836.70","      574456297","        12002.68"
"15-Jan-2013","     4844.35","     4867.80","     4833.60","     4858.90","      600713885","        12298.08"
"16-Jan-2013","     4854.70","     4860.75","     4801.05","     4807.55","      601240983","        12057.04"
"17-Jan-2013","     4807.30","     4842.10","     4803.80","     4831.35","      584896236","        12932.99"
"18-Jan-2013","     4842.85","     4861.70","     4834.40","     4844.05","      622166307","        14155.00"
"21-Jan-2013","     4855.90","     4862.30","     4845.40","     4856.00","      531437438","        11003.13"
"22-Jan-2013","     4854.90","     4872.70","     4817.60","     4822.35","      581198658","        11811.53"
"23-Jan-2013","     4824.95","     4841.35","     4786.80","     4814.80","      681086961","        12062.10"
"24-Jan-2013","     4809.95","     4820.95","     4758.25","     4763.85","      889680966","        14235.39"
"25-Jan-2013","     4766.90","     4819.50","     4757.85","     4816.45","      819234194","        12365.51"
"28-Jan-2013","     4820.70","     4831.05","     4808.80","     4818.30","      544113756","        10379.80"
"29-Jan-2013","     4812.70","     4845.70","     4790.90","     4794.80","      727496523","        14347.42"
"30-Jan-2013","     4803.35","     4814.75","     4788.85","     4797.15","      611815741","        11513.15"
"31-Jan-2013","     4791.50","     4803.65","     4784.20","     4795.30","      918873976","        15422.73"
"01-Feb-2013","     4798.90","     4814.50","     4769.10","     4775.90","      672545141","        11470.83"
"04-Feb-2013","     4790.70","     4802.70","     4755.55","     4759.25","      583134307","        10892.93"
"05-Feb-2013","     4737.40","     4743.50","     4723.15","     4733.60","      564375371","        10390.74"
"06-Feb-2013","     4751.15","     4761.40","     4734.55","     4738.10","      596189475","        10924.73"
"07-Feb-2013","     4725.20","     4753.90","     4705.90","     4713.25","      568309551","        10573.58"
"08-Feb-2013","     4707.90","     4721.00","     4668.90","     4682.55","      597349441","        11844.86"
"11-Feb-2013","     4691.85","     4692.25","     4668.80","     4677.85","      423362594","         8787.35"
"12-Feb-2013","     4675.90","     4693.20","     4659.85","     4690.30","      669280126","         9414.29"
"13-Feb-2013","     4701.85","     4726.50","     4682.90","     4688.45","      574689290","        10461.26"
"14-Feb-2013","     4688.50","     4693.00","     4642.30","     4650.35","      648543851","        12160.78"
"15-Feb-2013","     4634.80","     4653.85","     4616.90","     4647.25","      564577554","         9515.72"
"18-Feb-2013","     4647.95","     4669.00","     4646.55","     4659.60","      419459135","         7542.61"
"19-Feb-2013","     4660.75","     4701.75","     4652.10","     4697.10","      467442574","         7616.90"
"20-Feb-2013","     4712.00","     4718.10","     4696.00","     4698.35","      589626136","         9536.28"
"21-Feb-2013","     4679.40","     4679.40","     4617.20","     4621.75","      559255429","        12705.38"
"22-Feb-2013","     4613.75","     4640.45","     4607.90","     4621.80","      486078552","         9353.80"
"25-Feb-2013","     4633.40","     4638.25","     4590.50","     4611.65","      567835737","         9163.37"
"26-Feb-2013","     4602.25","     4602.25","     4529.20","     4537.10","      538534011","         9859.41"
"27-Feb-2013","     4550.45","     4583.25","     4527.30","     4568.20","      697288854","        11380.72"
