Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2-Jan-06,2836.8,2849.45,2825.4,2835.95,51922369,2492.19
3-Jan-06,2835.95,2887.2,2832.05,2883.35,56919143,2674.83
4-Jan-06,2883,2909.35,2883,2904.4,82021279,3415.2
5-Jan-06,2904.45,2916.2,2884.8,2899.85,70082252,3203.74
6-Jan-06,2899.85,2921.7,2877.25,2914,83354445,3728.49
9-Jan-06,2913.35,2927.25,2898.25,2910.1,74818404,3462.62
10-Jan-06,2910.15,2913.05,2865.6,2870.8,71122017,3508.23
12-Jan-06,2869.35,2869.35,2824,2850.7,92184274,6110.85
13-Jan-06,2851.4,2878.35,2846.7,2850.55,66173305,3198.16
16-Jan-06,2851.35,2855.7,2824.05,2833.1,57827407,3404.76
17-Jan-06,2833.8,2861.25,2820.65,2829.1,95095316,6190.85
18-Jan-06,2809.9,2840.1,2783.85,2809.2,119045833,6974.93
19-Jan-06,2811.1,2875.95,2811.1,2870.85,69427054,3219.72
20-Jan-06,2870.8,2912.8,2870.8,2900.95,73695932,4307.53
23-Jan-06,2900.3,2900.3,2870.95,2884.05,65128512,2809.25
24-Jan-06,2886.35,2914.25,2885.75,2908,67193094,3300.77
25-Jan-06,2908.75,2949.1,2871.25,2940.35,97129132,4944.65
27-Jan-06,2941.9,2989.7,2941.9,2982.75,115083146,3807.99
30-Jan-06,2983.3,3002.2,2963.65,2974.5,99399734,3402.83
31-Jan-06,2968.95,3005.1,2968.85,3001.1,74303077,2982.45
1-Feb-06,3001.3,3011.05,2960.9,2971.55,87163320,3809.99
2-Feb-06,2972.2,2997.25,2957.55,2967.45,80517157,3574.21
3-Feb-06,2968.1,2973.9,2931.85,2940.6,62877718,3113.61
6-Feb-06,2940.95,3009.45,2928.1,3000.45,70479490,3602.08
7-Feb-06,3001.15,3025.1,2991.25,3020.1,84822966,3781.35
8-Feb-06,3018.2,3021.25,2984.9,3008.95,72204624,3709.2
10-Feb-06,3009.15,3031.75,3009.1,3027.55,77233296,3764.84
13-Feb-06,3026.15,3042.75,3018.5,3041.15,66172668,3052.33
14-Feb-06,3040.25,3051.7,3009.9,3017.55,86851659,4149.93
15-Feb-06,3001.4,3048.8,2995.3,3022.2,90334973,4183.48
16-Feb-06,3023.1,3036.65,3013.7,3021.6,77742684,3413.17
17-Feb-06,3021.65,3038.8,2976.7,2981.5,80252511,3664.79
20-Feb-06,2982.35,3010.65,2955.85,3005.85,61702111,2832.2
21-Feb-06,3008.55,3042.05,3008.55,3035.5,59629361,2936.55
22-Feb-06,3035.65,3055.65,3032.5,3050.8,56288881,2838.57
23-Feb-06,3050.85,3078.4,3050.85,3062.1,108536483,4627.45
24-Feb-06,3061.7,3072,3041.6,3050.05,61840503,2445.38
27-Feb-06,3050.3,3070.35,3050.3,3067.45,53579117,2663.01
28-Feb-06,3067.9,3090.3,3031.8,3074.7,101518894,4978.91
1-Mar-06,3074.6,3127.25,3064,3123.1,96935864,4886.99
2-Mar-06,3124.25,3170.35,3124.25,3150.7,117835195,5303.83
3-Mar-06,3151.3,3167.2,3132.6,3147.35,68562889,3740.91
6-Mar-06,3147.25,3194,3147.2,3190.4,70231056,3256.57
7-Mar-06,3190.45,3192.95,3166.75,3182.8,85670076,4153.35
8-Mar-06,3183.45,3187.5,3107.9,3116.7,104385907,5393.67
9-Mar-06,3116.75,3132.65,3069.85,3129.1,91561270,4422.04
10-Mar-06,3129.05,3189.35,3128.6,3183.9,89130425,4292.37
13-Mar-06,3184.1,3221.3,3174.05,3202.65,71708390,3515.72
14-Mar-06,3197.2,3223.45,3184.05,3195.35,81135055,4011.15
16-Mar-06,3197.3,3230.4,3196.95,3226.6,85098635,4339.33
17-Mar-06,3226.9,3258.3,3226.9,3234.05,84410109,4238.8
20-Mar-06,3234.2,3268.25,3234.2,3265.65,74738736,3092.16
21-Mar-06,3264.65,3292.15,3247.25,3262.3,94383185,4408.31
22-Mar-06,3263.35,3267.95,3221.95,3240.15,92992199,4747.15
23-Mar-06,3240.85,3265.6,3225.2,3247.15,132315985,4977.08
24-Mar-06,3247.15,3286.2,3242.6,3279.8,133458459,3755.77
27-Mar-06,3283.4,3327.05,3280.8,3321.65,155883121,6939.44
28-Mar-06,3321.45,3344.5,3311.85,3325,145259830,7402.88
29-Mar-06,3324.85,3359.8,3324.8,3354.2,107383096,4235.41
30-Mar-06,3354.25,3433.85,3354.25,3418.95,167133850,7120.91
31-Mar-06,3420.55,3425.45,3381.9,3402.55,191025581,12055.59
3-Apr-06,3403.15,3478.25,3402.45,3473.3,73250033,3804.68
4-Apr-06,3473.1,3508.25,3463.85,3483.15,92359007,4230.1
5-Apr-06,3483.15,3513.95,3483.15,3510.9,79374868,4099.01
7-Apr-06,3525.6,3555.5,3445.9,3454.8,137089599,7354.61
10-Apr-06,3455,3489.05,3430.4,3478.45,104980176,4807.96
12-Apr-06,3479.1,3484.65,3366.75,3380,124245306,6146.48
13-Apr-06,3380.4,3391.05,3290.35,3345.5,129244802,6733.14
17-Apr-06,3342.15,3433.65,3342.15,3425.15,94138429,4856.61
18-Apr-06,3429,3521.95,3429,3518.1,103920172,5605.22
19-Apr-06,3523.65,3570.5,3502.75,3535.85,119462639,5833.57
