"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2017","    14417.15","    14498.25","    14323.25","    14483.25","      176295925","         2858.16"
"03-Jan-2017","    14524.40","    14619.75","    14486.55","    14609.85","      174037086","         3439.67"
"04-Jan-2017","    14653.55","    14746.20","    14648.15","    14681.25","      217390176","         4151.55"
"05-Jan-2017","    14764.60","    14885.85","    14762.55","    14876.15","      204718979","         4157.42"
"06-Jan-2017","    14931.75","    14995.80","    14833.90","    14854.20","      235700080","         4607.46"
"09-Jan-2017","    14903.60","    14916.25","    14839.30","    14873.45","      160543843","         3076.43"
"10-Jan-2017","    14919.30","    14993.10","    14882.15","    14984.30","      167452362","         3588.56"
"11-Jan-2017","    15048.10","    15178.80","    15042.25","    15159.75","      286480564","         4549.20"
"12-Jan-2017","    15176.90","    15211.60","    15092.70","    15192.90","      322447858","         4509.90"
"13-Jan-2017","    15250.80","    15268.85","    15116.60","    15178.65","      223159158","         3556.00"
"16-Jan-2017","    15177.65","    15254.75","    15126.10","    15239.35","      222537017","         3581.89"
"17-Jan-2017","    15265.60","    15341.00","    15201.75","    15243.30","      216476329","         3731.68"
"18-Jan-2017","    15277.35","    15385.20","    15269.85","    15329.65","      219665867","         4039.76"
"19-Jan-2017","    15339.70","    15384.50","    15284.70","    15370.20","      277072831","         4184.96"
"20-Jan-2017","    15354.95","    15387.25","    15096.15","    15117.15","      351247013","         4103.82"
"23-Jan-2017","    15111.65","    15220.40","    15084.55","    15188.75","      232684419","         3133.84"
"24-Jan-2017","    15247.05","    15359.10","    15201.60","    15339.25","      224336140","         4492.87"
"25-Jan-2017","    15424.70","    15520.20","    15363.90","    15506.80","      356814473","         6871.42"
"27-Jan-2017","    15543.25","    15697.70","    15534.00","    15641.35","      308930299","         4886.86"
"30-Jan-2017","    15638.30","    15685.10","    15566.90","    15638.65","      285288764","         4230.53"
"31-Jan-2017","    15657.20","    15658.40","    15398.75","    15413.70","      281618480","         4966.52"
"01-Feb-2017","    15445.30","    15739.90","    15402.15","    15726.15","      378847584","         5957.44"
"02-Feb-2017","    15743.85","    15860.15","    15696.10","    15831.55","      324842004","         6381.34"
"03-Feb-2017","    15872.10","    16047.60","    15872.00","    16035.20","      459743315","         7997.54"
"06-Feb-2017","    16135.70","    16225.20","    16112.60","    16174.00","      365090624","         6595.22"
"07-Feb-2017","    16212.80","    16237.00","    16023.30","    16101.70","      350492873","         6342.73"
"08-Feb-2017","    16150.80","    16203.05","    15999.75","    16175.30","      286749944","         4917.95"
"09-Feb-2017","    16225.45","    16291.90","    16105.70","    16246.35","      364994462","         6263.34"
"10-Feb-2017","    16302.90","    16315.75","    16175.55","    16227.70","      279718439","         4376.47"
"13-Feb-2017","    16272.60","    16292.10","    16001.00","    16131.30","      340640416","         4362.34"
"14-Feb-2017","    16166.40","    16170.15","    16037.10","    16092.00","      270222865","         4717.86"
"15-Feb-2017","    16091.15","    16105.95","    15814.60","    15833.85","      327542905","         4945.87"
"16-Feb-2017","    15850.40","    16120.60","    15769.70","    16095.70","      280416036","         4841.08"
"17-Feb-2017","    16176.70","    16209.85","    16076.40","    16169.30","      257432423","         5329.97"
"20-Feb-2017","    16198.20","    16367.55","    16172.50","    16349.95","      358552244","         5452.03"
"21-Feb-2017","    16389.30","    16479.40","    16384.90","    16452.50","      322335048","         4919.07"
"22-Feb-2017","    16497.55","    16510.05","    16320.95","    16353.50","      336013222","         5659.63"
"23-Feb-2017","    16359.45","    16419.70","    16340.55","    16357.65","      451540172","         6646.97"
"27-Feb-2017","    16355.35","    16428.40","    16346.65","    16377.40","      300428241","         5635.04"
"28-Feb-2017","    16416.20","    16495.85","    16401.80","    16480.50","      331257222","         5320.12"
"01-Mar-2017","    16557.45","    16604.80","    16523.40","    16539.30","      270473231","         4585.26"
"02-Mar-2017","    16614.90","    16632.70","    16258.40","    16289.10","      332800207","         6159.02"
"03-Mar-2017","    16268.05","    16379.50","    16242.95","    16364.05","      235395263","         5660.98"
"06-Mar-2017","    16420.00","    16474.75","    16396.75","    16464.50","      212396560","         3984.69"
"07-Mar-2017","    16497.10","    16505.40","    16427.00","    16469.75","      264667063","         4938.15"
"08-Mar-2017","    16480.45","    16483.05","    16255.65","    16362.80","      259204858","         5163.18"
"09-Mar-2017","    16343.90","    16414.40","    16309.20","    16333.15","      304224584","         4717.68"
"10-Mar-2017","    16384.00","    16435.00","    16258.65","    16291.20","      246193683","         4542.86"
"14-Mar-2017","    16581.15","    16590.65","    16433.05","    16526.90","      282937365","         5844.19"
"15-Mar-2017","    16563.65","    16708.15","    16543.10","    16663.80","      268538944","         5885.14"
"16-Mar-2017","    16746.25","    16903.25","    16741.20","    16893.30","      451920293","         6490.79"
"17-Mar-2017","    16947.40","    16962.00","    16800.45","    16901.70","      446624393","         7296.85"
"20-Mar-2017","    16959.45","    16975.40","    16900.55","    16962.25","      345342508","         5219.49"
"21-Mar-2017","    17009.65","    17009.65","    16824.35","    16926.05","      248165519","         4571.86"
"22-Mar-2017","    16823.80","    16826.20","    16688.50","    16721.80","      258998400","         5004.33"
"23-Mar-2017","    16786.95","    16906.65","    16785.10","    16893.05","      306669792","         5914.06"
"24-Mar-2017","    16928.35","    17016.95","    16920.40","    16936.10","      306562138","         5365.93"
"27-Mar-2017","    16944.40","    16969.70","    16868.00","    16928.15","      274860401","         4973.85"
"28-Mar-2017","    16989.50","    17056.30","    16975.00","    17034.30","      259634791","         5918.20"
"29-Mar-2017","    17066.20","    17086.05","    16996.70","    17054.40","      266057978","         5801.67"
"30-Mar-2017","    17069.05","    17148.60","    17062.65","    17110.30","      463065696","         7732.30"
"31-Mar-2017","    17147.40","    17221.65","    17131.65","    17197.15","      397332280","         5231.14"
"03-Apr-2017","    17256.25","    17341.45","    17242.00","    17332.90","      241894209","         4414.23"
"05-Apr-2017","    17378.30","    17478.95","    17352.10","    17467.10","      312329253","         5474.36"
"06-Apr-2017","    17447.80","    17489.55","    17377.80","    17469.30","      299332681","         5589.71"
"07-Apr-2017","    17424.45","    17576.60","    17358.10","    17398.15","      330664634","         6395.34"
"10-Apr-2017","    17452.20","    17518.65","    17367.45","    17472.10","      253021320","         4532.20"
