"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2016","    13413.70","    13543.45","    13412.35","    13540.45","      211629226","         3396.59"
"04-Jan-2016","    13536.80","    13631.45","    13367.95","    13429.40","      305055672","         4471.72"
"05-Jan-2016","    13488.20","    13553.75","    13415.00","    13546.20","      285331765","         4767.06"
"06-Jan-2016","    13555.55","    13638.25","    13468.00","    13513.20","      248759598","         4858.28"
"07-Jan-2016","    13378.00","    13378.00","    13102.10","    13130.30","      273201515","         4389.30"
"08-Jan-2016","    13211.80","    13324.00","    13196.90","    13288.70","      231458837","         3743.61"
"11-Jan-2016","    13192.50","    13268.45","    13062.30","    13183.50","      239699510","         3568.72"
"12-Jan-2016","    13226.20","    13272.55","    13072.35","    13087.70","      228698112","         3448.35"
"13-Jan-2016","    13176.00","    13218.75","    12711.95","    12993.90","      343328269","         4995.87"
"14-Jan-2016","    12818.35","    12968.40","    12718.45","    12838.25","      264735209","         3684.26"
"15-Jan-2016","    12901.55","    12926.40","    12466.15","    12480.60","      270729392","         4149.46"
"18-Jan-2016","    12440.60","    12462.45","    12059.35","    12075.50","      293059688","         4355.28"
"19-Jan-2016","    12131.60","    12283.70","    12034.60","    12248.75","      261517269","         3851.69"
"20-Jan-2016","    12137.05","    12137.05","    11857.85","    12027.25","      282100908","         3854.98"
"21-Jan-2016","    12129.00","    12213.30","    11896.35","    11967.10","      285508964","         4067.32"
"22-Jan-2016","    12097.20","    12244.35","    12061.00","    12221.45","      224747897","         3377.48"
"25-Jan-2016","    12319.20","    12370.00","    12258.45","    12267.40","      195254282","         3051.40"
"27-Jan-2016","    12321.50","    12371.35","    12249.95","    12320.65","      224242391","         3650.91"
"28-Jan-2016","    12319.35","    12365.00","    12289.65","    12302.85","      305250240","         5445.07"
"29-Jan-2016","    12327.95","    12483.70","    12283.65","    12469.10","      276486050","         4511.60"
"01-Feb-2016","    12555.15","    12565.30","    12469.10","    12526.10","      222646446","         3847.73"
